日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2019/1/1,1.6,東南東,1017.3,80.9,2.3,88,17.1,15.2,16.1,167.64,313.631,18.9,"7,543,380","3,796,380","3,747,000","6,307,200","10,103,580"
2019/1/2,1.5,東南東,1016,0,1.2,89,17.8,15.6,16.6,167.76,314.587,16.8,"6,572,620","6,661,620","-89,000","6,316,200","12,977,820"
2019/1/3,1.4,東南東,1015.6,23.4,1.6,90,19.6,16.6,18,167.77,314.699,18.4,"7,019,088","6,662,088","357,000","6,793,200","13,455,288"
2019/1/4,1.7,東南南,1011.5,307.7,3.5,81,28.3,18.4,22,167.84,315.378,6.7,"7,374,848","6,658,848","716,000","6,391,800","13,050,648"
2019/1/5,0.4,西南西,1010.6,132.4,1.1,89,21.9,17.9,19.3,167.75,314.506,1,"4,338,772","6,662,772","-2,324,000","5,221,800","11,884,572"
2019/1/6,1.2,南,1012.5,97,2.9,89,18.8,16.5,17.7,167.43,311.624,14.8,"3,551,944","6,670,944","-3,119,000","4,417,200","11,088,144"
2019/1/7,1.8,東南東,1010.5,78.8,2,86,23.1,17.3,19.6,167.32,310.651,3.1,"2,980,740","3,247,740","-267,000","3,988,800","7,236,540"
2019/1/8,0.4,東南南,1012.1,59.1,0.6,90,20.5,17.7,18.6,167.28,310.336,6.9,"2,801,220","3,245,220","-444,000","3,531,600","6,776,820"
2019/1/9,2.8,東南東,1013.3,182.8,4.4,81,22.1,16.6,18.9,167.24,309.991,8.3,"3,158,704","3,247,704","-89,000","3,186,000","6,433,704"
2019/1/10,1.2,南,1009.4,390.4,2.9,80,28.3,18.1,22.1,167.27,310.251,0.5,"3,601,732","3,246,732","355,000","3,108,600","6,355,332"
2019/1/11,0.7,西南,1008,385.8,1.6,85,27.3,18.7,21.5,167.24,309.98,0.2,"2,452,052","3,251,052","-799,000","2,946,600","6,197,652"
2019/1/12,0.5,西南,1009.2,185.3,0,91,19.7,17.2,18.5,167.12,308.862,2.4,"1,832,824","3,253,824","-1,421,000","2,651,400","5,905,224"
2019/1/13,0.8,東南,1010.2,295.8,0.6,89,19.4,16.8,17.7,166.94,307.305,3.9,"1,663,792","3,258,792","-1,595,000","2,415,600","5,674,392"
2019/1/14,2.5,東,1009,418.1,3.1,78,21.7,16.1,18.7,166.76,305.643,2.3,"1,497,568","3,266,568","-1,769,000","2,307,600","5,574,168"
2019/1/15,0.5,南,1008.7,433.5,1.7,86,23.2,17,19.6,166.55,303.841,8.9,"1,503,440","3,268,440","-1,765,000","2,161,800","5,430,240"
2019/1/16,0.8,東南南,1011.1,357.4,4.3,90,17.1,15,16,166.4,302.473,25.9,"2,566,932","3,271,932","-705,000","2,770,200","6,042,132"
2019/1/17,0.2,西南西,1013.3,182.6,0.9,90,15.1,13.9,14.4,166.38,302.33,9.6,"3,358,888","3,270,888","88,000","3,108,600","6,379,488"
2019/1/18,2.8,東南東,1012.5,505.8,7.1,60,21.5,13.6,17.1,166.35,302.106,0,"2,569,884","3,274,884","-705,000","2,844,000","6,118,884"
2019/1/19,0.9,東南,1009.8,410.1,2.7,78,24.9,12.3,17.5,166.25,301.225,0,"1,782,128","1,870,128","-88,000","2,521,800","4,391,928"
2019/1/20,0.2,南,1010.7,243.5,0.5,88,21.8,14.2,16.9,166.25,301.214,11.4,"1,519,344","1,870,344","-351,000","2,341,800","4,212,144"
2019/1/21,0.3,西南南,1012.5,68.7,2,90,15.8,13.1,14.1,166.25,301.229,15,"2,221,776","1,870,776","351,000","3,009,600","4,880,376"
2019/1/22,0,西北,1012.1,155.1,0.6,91,14,10.1,12.4,166.29,301.592,3.2,"2,134,336","1,869,336","265,000","2,768,400","4,637,736"
2019/1/23,1.4,東南東,1010.9,223.5,3.3,75,17.2,10.1,14.3,166.3,301.621,0,"1,691,580","1,868,580","-177,000","2,488,320","4,356,900"
2019/1/24,1.9,東南東,1010.8,454.7,3.1,74,19.2,13.9,15.9,166.27,301.335,0,"1,517,228","1,869,228","-352,000","2,199,600","4,068,828"
2019/1/25,0.7,東南南,1011.2,409.1,2.4,79,25,12.3,17.2,166.21,300.837,0.1,"1,130,972","1,305,972","-175,000","2,077,920","3,383,892"
2019/1/26,0.2,東北,1016.3,327.1,2.5,78,15.1,11.6,13.2,166.18,300.587,0.3,"957,140","1,309,140","-352,000","1,927,080","3,236,220"
2019/1/27,1,東,1015,227.1,2.1,81,15.8,11.4,13,166.14,300.203,0,"868,736","1,307,736","-439,000","1,817,640","3,125,376"
2019/1/28,0.5,東南,1011.3,325.9,1.9,79,23.5,10.2,16,166.08,299.715,0,"867,484","1,307,484","-440,000","1,603,800","2,911,284"
2019/1/29,1.7,東南東,1011.9,421.9,3.4,76,22.5,15.5,18.1,166.02,299.185,2.3,"696,940","1,310,940","-614,000","1,505,880","2,816,820"
2019/1/30,0.4,東南,1010.5,462.4,1.8,79,26.2,13.1,18.6,165.95,298.599,0.1,"697,632","1,312,632","-615,000","1,441,080","2,753,712"
2019/1/31,0.9,東南,1009.8,476.7,2.6,76,27.9,13.7,18.8,165.88,297.956,0.9,"700,424","1,313,424","-613,000","1,391,760","2,705,184"
